SKU,Title,Price,Size,Variant,Tags,DriveFolder,Status
CB9OZ_VELVET_FOREST,"Velvet Forest — 9oz Amber | Hand-Poured Clean Burn",24.00,"9oz","Amber","forest candle, evergreen candle, holiday candle, clean burn candle, soy candle, gift for her, gift for him, winter candle, cabin decor, earthy scent, lodge, woodsy candle, slow living","drive://Candles/CB9OZ_VELVET_FOREST/","DRAFT"
CB9OZ_VELVET_FOREST,"Velvet Forest — 9oz Amber | Hand-Poured Clean Burn",24.00,"9oz","Amber","forest candle, evergreen candle, holiday candle, clean burn candle, soy candle, gift for her, gift for him, winter candle, cabin decor, earthy scent, lodge, woodsy candle, slow living","drive://Candles/CB9OZ_VELVET_FOREST/","DRAFT"
CB9OZ_VELVET_FOREST,"Velvet Forest — 9oz Amber | Hand-Poured Clean Burn",24.00,"9oz","Amber","forest candle, evergreen candle, holiday candle, clean burn candle, soy candle, gift for her, gift for him, winter candle, cabin decor, earthy scent, lodge, woodsy candle, slow living","drive://Candles/CB9OZ_VELVET_FOREST/","DRAFT"
CB9OZ_HAUNTED_PORTRAIT,"Haunted Portrait — 9oz Amber | Smoky Amber, Clove & Dark Rose",24.00,"9oz","Amber","halloween candle, gothic candle, smoky amber candle, clove candle, dark rose, spooky decor, moody candle, fall candle, witchy, victorian, baroque","drive://Candles/CB9OZ_HAUNTED_PORTRAIT/","DRAFT"
CB9OZ_SKULL_ROSES,"Skull & Roses — 9oz Amber | Black Pepper, Rosewood & Smoke",24.00,"9oz","Amber","skull candle, roses candle, gothic decor, alternative gift, smoky rose, edgy candle, dark floral, rocker aesthetic, moody home","drive://Candles/CB9OZ_SKULL_ROSES/","DRAFT"
CB9OZ_GIFT_UNDER_TREE,"Gift Under Tree — 9oz Amber | Fir, Citrus & Cozy Spice",24.00,"9oz","Amber","christmas candle, holiday candle, tree scent, fir needle candle, cozy spice, winter candle, gift for her, gift for him, stocking stuffer","drive://Candles/CB9OZ_GIFT_UNDER_TREE/","DRAFT"
CB9OZ_VELVET_WALLPAPER,"Velvet Wallpaper — 9oz Amber | Moss, Amber & Velvet Woods",24.00,"9oz","Amber","velvet candle, moss candle, amber candle, vintage decor, moody candle, library scent, old world, luxe home, sophisticated","drive://Candles/CB9OZ_VELVET_WALLPAPER/","DRAFT"
CB9OZ_FLOWER_RETRO,"Flower Retro — 9oz Amber | Neroli, Petals & Creamy Musk",24.00,"9oz","Amber","floral candle, neroli candle, retro decor, midcentury vibe, soft floral, gift for mom, spring candle, aesthetic home","drive://Candles/CB9OZ_FLOWER_RETRO/","DRAFT"
CB9OZ_VICTORIAN,"Victorian Parlor — 9oz Amber | Rosewood, Tonka & Black Tea",24.00,"9oz","Amber","victorian candle, rosewood candle, tea candle, baroque decor, elegant home, dark academia, moody floral, heirloom vibe","drive://Candles/CB9OZ_VICTORIAN/","DRAFT"
CB9OZ_WITCH_BREW,"Witch Brew — 9oz Amber | Smoke, Cardamom & Labdanum",24.00,"9oz","Amber","halloween candle, witchy candle, smoky candle, occult decor, pagan, gothic home, mystical scent, autumn candle","drive://Candles/CB9OZ_WITCH_BREW/","DRAFT"
CB9OZ_MAIN_FLOWERHEAD,"Main Flowerhead — 9oz Amber | Jasmine, Pear & Soft Woods",24.00,"9oz","Amber","jasmine candle, floral candle, romantic gift, boho home, soft musk, calming candle, everyday burn","drive://Candles/CB9OZ_MAIN_FLOWERHEAD/","DRAFT"
